time,Open,High,Low,Close,Adj Close,Volume,ticker
2022-06-01 21:00:00+00:00,0.0001481867948314175,0.0001487175904912874,0.0001481867948314175,0.00014820195792708546,0.00014820195792708546,0,UNI-USD
2022-06-01 22:00:00+00:00,0.00014786492101848125,0.0001486774126533419,0.00014776558964513242,0.00014864538388792425,0.00014864538388792425,0,UNI-USD
2022-06-01 23:00:00+00:00,0.00014865265984553844,0.0001498353376518935,0.00014865265984553844,0.00014899580855853856,0.00014899580855853856,0,UNI-USD
2022-06-02 00:00:00+00:00,0.00014895069762133062,0.00014895069762133062,0.00014826352708041668,0.00014848691353108734,0.00014848691353108734,0,UNI-USD
2022-06-02 01:00:00+00:00,0.00014837838534731418,0.00014926122094038874,0.00014834057947155088,0.0001490875583840534,0.0001490875583840534,0,UNI-USD
2022-06-02 02:00:00+00:00,0.00014901594840921462,0.00014935705985408276,0.0001489170390414074,0.00014906282012816519,0.00014906282012816519,0,UNI-USD
2022-06-02 03:00:00+00:00,0.0001490869908593595,0.00014919700333848596,0.0001485946268076077,0.00014867604477331042,0.00014867604477331042,0,UNI-USD
2022-06-02 04:00:00+00:00,0.00014862096577417105,0.00014901313988957554,0.00014848007413093,0.00014899457164574414,0.00014899457164574414,0,UNI-USD
2022-06-02 05:00:00+00:00,0.00014899027883075178,0.00014930676843505353,0.00014856219058856368,0.00014929586905054748,0.00014929586905054748,0,UNI-USD
2022-06-02 06:00:00+00:00,0.00014933980128262192,0.00014955451479181647,0.00014904876297805458,0.0001495462202001363,0.0001495462202001363,1,UNI-USD
2022-06-02 07:00:00+00:00,0.00014955671213101596,0.0001501866354374215,0.0001495326723670587,0.00014977811952121556,0.00014977811952121556,0,UNI-USD
2022-06-02 08:00:00+00:00,0.0001497413031756878,0.0001499576901551336,0.00014962012937758118,0.0001497560297138989,0.0001497560297138989,0,UNI-USD
2022-06-02 09:00:00+00:00,0.00014969964104238898,0.000149904954014346,0.00014940874825697392,0.00014954556536395103,0.00014954556536395103,0,UNI-USD
2022-06-02 10:00:00+00:00,0.00014963389548938721,0.00015023727610241622,0.00014957389794290066,0.0001499432692071423,0.0001499432692071423,0,UNI-USD
